Country,SpatialDim,TimeDim,NumericValue,Low,High,Value
France,FRA,2008,5.14592,3.90764,6.62488,5.1 [3.9-6.6]
France,FRA,1997,5.92218,4.56888,7.45048,5.9 [4.6-7.5]
France,FRA,2010,5.81905,4.46011,7.45248,5.8 [4.5-7.5]
France,FRA,1998,7.45704,5.83171,9.24866,7.5 [5.8-9.2]
France,FRA,2006,6.49447,5.37341,7.77529,6.5 [5.4-7.8]
France,FRA,1995,5.62867,4.2408,7.26599,5.6 [4.2-7.3]
France,FRA,2015,7.20193,5.92147,8.60548,7.2 [5.9-8.6]
France,FRA,2011,7.39818,6.27277,8.65051,7.4 [6.3-8.7]
France,FRA,2022,4.46339,3.31747,5.82094,4.5 [3.3-5.8]
France,FRA,2009,9.6006,7.59964,11.89839,9.6 [7.6-11.9]
France,FRA,2017,6.25064,5.32063,7.28629,6.3 [5.3-7.3]
France,FRA,2009,7.69144,6.45036,9.06399,7.7 [6.5-9.1]
France,FRA,2001,7.45328,5.52243,9.7495,7.5 [5.5-9.7]
France,FRA,2011,9.39647,7.58203,11.4998,9.4 [7.6-11.5]
France,FRA,2019,4.89115,4.04749,5.84625,4.9 [4.0-5.8]
France,FRA,2007,5.23022,3.94917,6.76006,5.2 [3.9-6.8]
France,FRA,2013,7.03531,6.02574,8.16428,7.0 [6.0-8.2]
France,FRA,1996,7.18727,5.52439,9.10698,7.2 [5.5-9.1]
France,FRA,1998,6.03711,4.69887,7.50971,6.0 [4.7-7.5]
France,FRA,1995,7.02604,5.32901,9.01709,7.0 [5.3-9.0]
France,FRA,1997,6.85541,4.83228,9.23504,6.9 [4.8-9.2]
France,FRA,2008,7.78636,6.52101,9.23856,7.8 [6.5-9.2]
France,FRA,2005,5.32036,3.94225,6.97967,5.3 [3.9-7.0]
France,FRA,1990,5.19046,2.92573,8.5044,5.2 [2.9-8.5]
France,FRA,2003,7.8323,6.36253,9.4933,7.8 [6.4-9.5]
France,FRA,2016,3.88762,3.01742,4.94914,3.9 [3.0-4.9]
France,FRA,2012,4.56966,3.5583,5.81316,4.6 [3.6-5.8]
France,FRA,2005,6.49677,5.34747,7.81774,6.5 [5.3-7.8]
France,FRA,1997,6.20607,4.21229,8.64397,6.2 [4.2-8.6]
France,FRA,1990,5.48667,2.87778,9.12353,5.5 [2.9-9.1]
France,FRA,1995,4.90343,3.17675,7.08322,4.9 [3.2-7.1]
France,FRA,2017,3.72915,2.84164,4.80367,3.7 [2.8-4.8]
France,FRA,2013,4.39414,3.43765,5.54689,4.4 [3.4-5.5]
France,FRA,2016,7.02622,5.76457,8.40717,7.0 [5.8-8.4]
France,FRA,2019,3.43997,2.46217,4.64393,3.4 [2.5-4.6]
France,FRA,2015,6.65163,5.7192,7.69009,6.7 [5.7-7.7]
France,FRA,1994,5.95928,3.76482,8.75312,6.0 [3.8-8.8]
France,FRA,2009,7.81385,6.18104,9.70407,7.8 [6.2-9.7]
France,FRA,1994,6.17881,4.09114,8.74651,6.2 [4.1-8.7]
France,FRA,2016,5.38237,4.6024,6.23117,5.4 [4.6-6.2]
France,FRA,1992,5.09912,3.58679,6.92388,5.1 [3.6-6.9]
France,FRA,2006,6.31607,4.73724,8.19001,6.3 [4.7-8.2]
France,FRA,2020,4.74196,3.81203,5.81535,4.7 [3.8-5.8]
France,FRA,2009,5.99535,4.57137,7.70691,6.0 [4.6-7.7]
France,FRA,2000,9.13684,6.74696,12.00252,9.1 [6.7-12.0]
France,FRA,1991,5.4294,3.20483,8.52252,5.4 [3.2-8.5]
France,FRA,2014,6.84847,5.89151,7.91812,6.8 [5.9-7.9]
France,FRA,2000,7.65135,6.07955,9.41277,7.7 [6.1-9.4]
France,FRA,2019,7.9093,6.18234,9.82103,7.9 [6.2-9.8]
France,FRA,1990,4.34516,2.25821,7.3032,4.3 [2.3-7.3]
France,FRA,2001,6.3096,5.03335,7.74637,6.3 [5.0-7.7]
France,FRA,2018,8.11971,6.51137,9.86975,8.1 [6.5-9.9]
France,FRA,2014,8.94479,7.333,10.68061,8.9 [7.3-10.7]
France,FRA,2020,5.68377,4.57426,6.97385,5.7 [4.6-7.0]
France,FRA,1999,6.30318,4.42306,8.55668,6.3 [4.4-8.6]
France,FRA,2006,5.28596,3.94339,6.87988,5.3 [3.9-6.9]
France,FRA,1991,6.25713,4.29521,8.67541,6.3 [4.3-8.7]
France,FRA,2021,6.14641,4.42542,8.14078,6.1 [4.4-8.1]
France,FRA,1996,6.13843,4.08109,8.65016,6.1 [4.1-8.7]
France,FRA,1997,7.33108,5.68572,9.18846,7.3 [5.7-9.2]
France,FRA,2006,7.87988,6.52861,9.41551,7.9 [6.5-9.4]
France,FRA,2007,6.244,4.72244,8.03669,6.2 [4.7-8.0]
France,FRA,2008,7.8416,6.1571,9.81459,7.8 [6.2-9.8]
France,FRA,2012,9.25939,7.54336,11.19545,9.3 [7.5-11.2]
Andorra,AND,2003,8.38907,3.28475,16.42729,8.4 [3.3-16.4]
Andorra,AND,1994,6.96926,2.62053,14.05842,7.0 [2.6-14.1]
Andorra,AND,2000,10.33155,3.99225,19.93114,10.3 [4.0-19.9]
Andorra,AND,2000,7.99316,3.05849,15.54742,8.0 [3.1-15.5]
Andorra,AND,2014,7.0196,2.5393,14.57336,7.0 [2.5-14.6]
Andorra,AND,1993,8.14008,3.00249,16.34845,8.1 [3.0-16.3]
Andorra,AND,1996,6.40568,3.278,10.75715,6.4 [3.3-10.8]
Andorra,AND,1991,5.6531,2.01704,11.68021,5.7 [2.0-11.7]
Andorra,AND,1999,7.82973,3.00476,15.36408,7.8 [3.0-15.4]
Andorra,AND,1997,6.64894,3.43541,11.1055,6.6 [3.4-11.1]
Andorra,AND,2003,11.1577,4.48297,21.22587,11.2 [4.5-21.2]
